Stock,Date,Info,Sentiment Score
MSFT,2020-08-26,"[""microsoft tiktok deal reportedly ballooned trump intervened"",""san francisco — microsoft began talking summer popular video app tiktok chinese parent company bytedance one intentions pursuing blockbuster deal"",null,null,null,null,null,null,null,null,null,null,""new york city’s largest municipal union tuesday filed unfair labor practice complaint american museum natural history institution’s plan require employees record possible coronavirus symptoms app head union called overly intrusive"",null,null,null,null,null,null,null,null,null,null,""want delivered inbox day sign"",null,null,null,""talks microsoft bytedance parent company tiktok turn soap opera mike isaac andrew ross sorkin spoke dozen people understand happened trump administration began scrutinizing popular app"",""beijing tightened grip end dissent territory law enforcement faced criticism"",""month became president donald j trump met leaders country’s top technology companies trump tower manhattan"",null,null,null]",0.4149070765290941
MSFT,2020-08-27,[],0.41459648801831256
MSFT,2020-08-28,[],0.41459648801831256
MSFT,2020-08-31,[],0.41459648801831256
MSFT,2020-09-01,"[""microsoft msft walmart wmt would make great home tiktok"",""although modern love evolved podcast book tv show tiny love stories 16 years column’s central mission remains publish honest personal essays contemporary relationships"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4134826213121414
MSFT,2020-09-02,[],0.41459648801831256
MSFT,2020-09-03,"[""p 500 worst day thursday since june 11 falling 3 5 percent big tech companies driven recent rally culprits"",""monday first day public school miami dade county fla students logged virtual classrooms immediately encountered glitches"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4151071012020111
MSFT,2020-09-04,[],0.41459648801831256
MSFT,2020-09-08,[],0.41459648801831256
MSFT,2020-09-09,[],0.41459648801831256
MSFT,2020-09-10,[],0.41459648801831256
MSFT,2020-09-11,[],0.41459648801831256
MSFT,2020-09-14,[],0.41459648801831256
MSFT,2020-09-15,[],0.41459648801831256
MSFT,2020-09-16,[],0.41459648801831256
MSFT,2020-09-17,[],0.41459648801831256
